Title,Release Year,Rating,Genre,Country
Roadkill,2020,6.7,Drama| Thriller,UK
The Ted Knight Show,1978,7.0,Comedy,USA
Tru Calling,2003,7.4,Drama| Fantasy| Mystery| Thriller,USA
Mille,2009,7.0,Drama| Family,Denmark
De Carlo & Irene Show,2003,3.5,Animation| Comedy| Family,Netherlands
Life's Too Short,2012,7.5,Comedy,UK
The Critic,1994,7.9,Animation| Comedy| Drama| Romance,USA
Chappelle's Show,2003,8.8,Comedy| Music,USA
The Munsters,1964,7.8,Comedy| Family| Fantasy| Horror,USA
Wes,2018,7.2,Drama,Sri Lanka
Bull,2016,7.0,Comedy| Crime| Drama,USA
Queer as Folk,2000,8.3,Drama| Romance,Canada
Corporate,2018,7.6,Comedy,USA
Brass,1983,8.1,Comedy,UK
Da Ali G Show,2003,7.9,Comedy| Talk-Show,UK
Space: 1999,1975,7.3,Adventure| Drama| Sci-Fi,UK
Brassic,2019,8.3,Comedy| Drama,UK
Super Friends,1973,7.3,Animation| Action| Adventure| Sci-Fi,USA
Gazi,2008,5.6,Adventure| Drama| Romance,Turkey
Ro,2012,5.6,Drama,USA
The Conners,2018,5.3,Comedy,USA
Gavin & Stacey,2008,8.1,Comedy| Romance,UK
Blachman,2013,5.8,Talk-Show,Denmark
Street Food,2019,8.0,Documentary,USA
Life on the Reef,2015,8.6,Documentary,Australia
Eerie Indiana,1991,8.2,Adventure| Comedy| Drama| Family| Fantasy| Horror| Mystery| Sci-Fi| Thriller,USA
Candy Queen,2011,6.0,Reality-TV,USA
Young Doctors,2011,7.9,Reality-TV,Australia
The Mary Tyler Moore Show,1970,8.1,Comedy,USA
Dark Heart,2016,6.6,Crime| Drama| Thriller,UK
The Trial of Christine Keeler,2019,6.8,Drama,UK
Movie Up,2008,6.6,Comedy,USA
A Teia,2014,7.2,Action| Crime| Thriller,Brazil
Sailor Moon,1995,7.6,Animation| Action| Adventure| Comedy| Family| Fantasy| Romance,Japan
The Cavanaughs,1986,7.8,Comedy,USA
KOAPP,1984,7.5,Animation,Soviet Union
Zoey 101,2005,6.1,Comedy| Drama| Family| Romance,USA
SLiDE,2011,7.9,Comedy| Drama| Romance,Australia
Home Movies,1999,8.1,Animation| Comedy| Drama| Family,USA
Bomb Girls,2012,7.8,Drama| War,Canada
A Young Doctor's Notebook & Other Stories,2012,7.9,Comedy| Drama,UK
Westside,2015,8.0,Comedy| Crime| Drama,New Zealand
Wonderfalls,2004,8.2,Comedy| Drama| Fantasy,Canada
Latino Americans,2013,7.0,Documentary,USA
Ohara,1987,7.3,Crime| Drama| Thriller,USA
London Kills,2019,6.7,Crime| Drama| Mystery,UK
Social Distance,2020,4.7,Comedy| Drama,USA
Kappa Mikey,2006,6.4,Animation| Adventure| Comedy,USA
Thundercats,1985,7.9,Animation| Action| Adventure| Family| Fantasy| Sci-Fi,USA
Jack and Mike,1986,7.4,Comedy| Drama,USA
Sliders,1995,7.4,Adventure| Fantasy| Sci-Fi,USA
Connected: The Hidden Science of Everything,2020,7.5,Documentary| Comedy,UK
Life Unexpected,2010,7.5,Drama,USA
Millennium,1996,8.0,Crime| Drama| Horror| Mystery| Sci-Fi| Thriller,USA
Doc Martin,2004,8.3,Comedy| Drama| Romance,UK
Wonderama,1955,8.6,Family,USA
Cheat,2019,6.7,Thriller,UK
Twenties,2020,5.6,Comedy,USA
An Idiot Abroad,2010,8.3,Documentary| Adventure| Comedy| Reality-TV,UK
Roseanne's Nuts,2011,5.7,Comedy| Reality-TV,USA
Moonlighting,1985,7.6,Comedy| Drama| Mystery| Romance,USA
Forky Asks a Question,2019,6.9,Animation| Short| Comedy| Family| Fantasy,USA
The Young Indiana Jones Chronicles,1992,7.3,Action| Adventure| Family| Mystery,USA
Taken Down,2018,6.0,Crime| Drama,Ireland
Walker Texas Ranger,1993,5.5,Action| Adventure| Crime| Drama| Western,USA
Rugrats,1991,7.4,Animation| Adventure| Comedy| Family,USA
Buck Rogers in the 25th Century,1979,6.9,Action| Adventure| Sci-Fi,USA
Adventurer,1987,7.7,Action| Drama,New Zealand
Idolos,2004,8.5,Drama,Chile
Roseanne,1988,7.0,Comedy| Drama,USA
The Accident,2019,6.1,Drama,UK
Family Matters,1989,6.6,Adventure| Comedy| Drama| Family| Sci-Fi,USA
Liar,2017,7.1,Crime| Drama| Thriller,UK
Mr. Merlin,1981,7.2,Comedy| Family| Fantasy,USA
Murder She Wrote,1984,6.9,Crime| Drama| Mystery,USA
Shetland,2013,8.1,Crime| Drama| Mystery,UK
Adventure Time,2010,8.6,Animation| Short| Action| Adventure| Comedy| Family| Fantasy| Sci-Fi,USA
The Not Too Late Show with Elmo,2020,7.7,Comedy| Family| Music| Talk-Show,USA
Civilisations,2018,7.6,Documentary| History,UK
Hang Time,1995,7.0,Comedy,USA
Clarence,2013,6.6,Animation| Short| Adventure| Comedy| Family,USA
Mum,2016,8.2,Comedy,UK
The Barrier,2020,6.3,Sci-Fi,Spain
As If,2001,8.1,Comedy| Drama| Romance,UK
Soul Eater,2008,7.8,Animation| Action| Adventure| Comedy| Fantasy| Horror,Japan
The League of Gentlemen,2000,8.4,Comedy| Horror,UK
Ironside,1967,6.9,Crime| Drama| Mystery,USA
